id,num_views,num_votes,num_comments
21523,1,1,0
87152,1,1,0
182789,0,1,0
312571,0,1,0
246776,0,1,0
86278,32,3,0
408061,4,1,0
119989,4,1,0
247786,30,3,0
33437,15,1,0
289286,0,1,0
221744,4,1,0
997,15,3,0
90859,69,2,0
57506,1,1,0
292764,23,4,0
341866,1,1,0
43264,8,3,0
116615,8,3,0
310135,10,3,0
310390,18,3,0
64227,2,1,0
97169,7,1,0
278233,2,1,0
133916,20,2,0
159346,0,1,0
251770,35,3,0
36636,1,1,0
356915,0,1,0
25053,0,1,0
77956,12,3,0
80731,18,2,0
35291,49,3,0
27549,6,1,0
325665,6,1,0
29799,12,1,0
315705,31,1,0
141823,17,3,0
252646,7,1,0
401397,10,2,0
283991,0,1,0
63621,0,1,0
296435,19,1,0
353091,0,1,0
255062,0,1,0
142200,11,3,0
203180,1,1,0
20847,1,1,0
280555,19,2,0
67559,2,1,0
266083,0,1,0
280439,2,1,0
270045,0,1,0
364853,0,1,0
393463,2,1,0
84824,0,1,0
380087,1,1,0
211433,26,4,0
117890,25,4,0
264491,0,1,0
20472,1,1,0
47772,0,1,0
35990,1,1,0
145389,0,1,0
404495,1,1,0
72860,9,1,0
115494,60,3,0
135644,52,4,0
275405,1,1,0
21041,3,1,0
62209,0,1,0
319927,1,1,0
48544,42,3,0
359567,0,1,0
212172,1,1,0
252166,1,1,0
76443,33,2,0
301351,1,1,0
40984,2,1,0
104051,1,1,0
32257,0,1,0
70397,7,3,0
22998,0,1,0
330597,13,3,0
256448,22,3,0
248174,1,1,0
32372,0,1,0
21817,22,1,0
345545,1,1,0
352372,1,1,0
18905,0,1,0
293060,1,1,0
270699,2,1,0
253377,0,1,0
59013,4,1,0
218153,1,1,0
252011,2,1,0
265455,0,1,0
123714,0,1,0
13499,3,1,0
270618,20,4,0
168439,1,3,0
2851,1,3,0
258445,0,4,0
99854,14,4,0
374779,1,3,0
324995,1,3,0
132099,1,1,0
279075,0,2,0
9138,0,3,0
84166,1,1,0
88128,0,3,0
289494,9,1,0
316802,0,3,0
237030,2,1,0
323680,0,3,0
177554,0,1,0
70259,1,1,0
398128,2,1,0
279140,0,1,0
39289,1,1,0
138943,1,1,0
130855,1,1,0
33998,2,1,0
236280,2,1,0
132175,2,1,0
7618,0,1,0
90638,1,1,0
174582,16,1,0
216341,0,1,0
283093,0,1,0
21072,1,1,0
112746,0,1,0
41219,2,1,0
383543,2,1,0
263909,1,1,0
90158,0,1,0
297079,0,1,0
303710,0,1,0
279655,0,1,0
397133,1,1,0
52779,2,1,0
70515,1,1,0
389408,2,1,0
908,1,1,0
386839,0,1,0
287252,1,1,0
223111,0,1,0
187678,0,1,0
164421,0,1,0
36170,0,1,0
167869,1,1,0
50173,0,1,0
170814,0,1,0
38888,0,1,0
216265,1,1,0
339898,1,1,0
301274,7,1,0
221078,1,1,0
188155,1,2,0
153810,0,1,0
385999,1,1,0
391438,0,1,0
144332,1,1,0
295608,1,1,0
8445,2,1,0
240662,2,1,0
54357,0,1,0
150489,0,1,0
341622,9,1,0
48070,54,2,0
